geometry,building,x,y
"POLYGON ((1960680.288019742 8367343.7629753, 1960659.315427677 8367355.710597761, 1960678.918790005 8367390.157098116, 1960699.891382071 8367378.209419861, 1960680.288019742 8367343.7629753))",apartments,"[1960680.2880197424, 1960659.3154276765, 1960678.9187900054, 1960699.8913820712, 1960680.2880197424]","[8367343.7629753, 8367355.710597761, 8367390.157098116, 8367378.209419861, 8367343.7629753]"
"POLYGON ((1960728.634074594 8367385.679487306, 1960753.280209855 8367373.354988396, 1960768.664563483 8367404.121941396, 1960744.018428222 8367416.44649171, 1960728.634074594 8367385.679487306))",apartments,"[1960728.6340745937, 1960753.2802098554, 1960768.664563483, 1960744.0184282216, 1960728.6340745937]","[8367385.679487306, 8367373.354988396, 8367404.121941396, 8367416.44649171, 8367385.679487306]"
"POLYGON ((1963285.787493454 8365866.463368139, 1963251.200527664 8365932.4615584, 1963270.058049404 8365942.34582444, 1963304.645015193 8365876.347545741, 1963285.787493454 8365866.463368139))",apartments,"[1963285.7874934536, 1963251.200527664, 1963270.058049404, 1963304.6450151934, 1963285.7874934536]","[8365866.463368139, 8365932.4615584, 8365942.34582444, 8365876.347545741, 8365866.463368139]"
"POLYGON ((1958467.122959383 8366456.589710797, 1958440.150246764 8366463.903699602, 1958470.562731649 8366575.963780409, 1958497.535444268 8366568.627516553, 1958467.122959383 8366456.589710797))",apartments,"[1958467.122959383, 1958440.1502467638, 1958470.5627316486, 1958497.5354442678, 1958467.122959383]","[8366456.589710797, 8366463.903699602, 8366575.963780409, 8366568.627516553, 8366456.589710797]"
"POLYGON ((1958323.175725838 8366604.488839436, 1958295.679811612 8366611.603498385, 1958268.796154586 8366507.699129786, 1958296.292068812 8366500.58457106, 1958323.175725838 8366604.488839436))",apartments,"[1958323.175725838, 1958295.6798116125, 1958268.7961545857, 1958296.2920688118, 1958323.175725838]","[8366604.488839436, 8366611.603498385, 8366507.699129786, 8366500.58457106, 8366604.488839436]"
"POLYGON ((1958205.666871357 8366627.118354784, 1958181.031868045 8366633.745424821, 1958153.725196953 8366532.36741927, 1958178.360200265 8366525.740440316, 1958205.666871357 8366627.118354784))",apartments,"[1958205.6668713572, 1958181.0318680448, 1958153.7251969527, 1958178.360200265, 1958205.6668713572]","[8366627.118354784, 8366633.745424821, 8366532.36741927, 8366525.7404403165, 8366627.118354784]"
"POLYGON ((1958089.872337034 8366630.997073986, 1958066.294868884 8366637.358177886, 1958038.77669076 8366535.403863123, 1958062.365290859 8366529.042847147, 1958089.872337034 8366630.997073986))",apartments,"[1958089.8723370337, 1958066.294868884, 1958038.77669076, 1958062.3652908585, 1958089.8723370337]","[8366630.997073986, 8366637.358177886, 8366535.403863123, 8366529.042847147, 8366630.997073986]"
"POLYGON ((1957974.122330507 8366601.474531175, 1957947.817534833 8366608.50053102, 1957920.432940098 8366505.815211699, 1957946.737735772 8366498.811473379, 1957974.122330507 8366601.474531175))",apartments,"[1957974.1223305068, 1957947.8175348327, 1957920.4329400975, 1957946.7377357718, 1957974.1223305068]","[8366601.474531175, 8366608.50053102, 8366505.815211699, 8366498.811473379, 8366601.474531175]"
"POLYGON ((1957953.839919284 8366457.853035614, 1957929.961888509 8366464.081008513, 1957904.169162493 8366365.187625906, 1957928.058325217 8366358.959736506, 1957953.839919284 8366457.853035614))",apartments,"[1957953.8399192845, 1957929.961888509, 1957904.1691624925, 1957928.0583252169, 1957953.8399192845]","[8366457.853035614, 8366464.081008513, 8366365.187625906, 8366358.959736506, 8366457.853035614]"
"POLYGON ((1957983.005625872 8366357.895898274, 1958006.917052494 8366352.864832046, 1957984.530702896 8366246.703485814, 1957960.619276274 8366251.756642607, 1957983.005625872 8366357.895898274))",apartments,"[1957983.0056258722, 1958006.9170524944, 1957984.5307028962, 1957960.6192762735, 1957983.0056258722]","[8366357.895898274, 8366352.864832046, 8366246.703485814, 8366251.756642607, 8366357.895898274]"
"POLYGON ((1958091.85382397 8366355.967691871, 1958116.589014824 8366350.249565494, 1958092.688720151 8366246.725648774, 1958067.953529297 8366252.42153192, 1958091.85382397 8366355.967691871))",apartments,"[1958091.8538239703, 1958116.5890148242, 1958092.6887201509, 1958067.9535292967, 1958091.8538239703]","[8366355.967691871, 8366350.249565494, 8366246.725648774, 8366252.42153192, 8366355.967691871]"
"POLYGON ((1958182.924299388 8366339.101448138, 1958207.236476177 8366332.385989945, 1958235.467099042 8366434.758605505, 1958211.154922253 8366441.451993357, 1958182.924299388 8366339.101448138))",apartments,"[1958182.924299388, 1958207.236476177, 1958235.4670990421, 1958211.154922253, 1958182.924299388]","[8366339.101448138, 8366332.385989945, 8366434.758605505, 8366441.451993357, 8366339.101448138]"
"POLYGON ((1958463.41602034 8366283.671397074, 1958435.664071285 8366291.140356078, 1958464.484687451 8366398.122388228, 1958492.236636506 8366390.631157501, 1958463.41602034 8366283.671397074))",apartments,"[1958463.4160203396, 1958435.6640712847, 1958464.4846874513, 1958492.2366365062, 1958463.4160203396]","[8366283.671397074, 8366291.140356078, 8366398.122388228, 8366390.631157501, 8366283.671397074]"
"POLYGON ((1958558.460601579 8366302.288400959, 1958586.680092495 8366295.24052967, 1958560.297373177 8366189.700570875, 1958532.077882261 8366196.748341315, 1958558.460601579 8366302.288400959))",apartments,"[1958558.460601579, 1958586.6800924952, 1958560.2973731773, 1958532.077882261, 1958558.460601579]","[8366302.288400959, 8366295.24052967, 8366189.700570875, 8366196.748341315, 8366302.288400959]"
"POLYGON ((1958666.462771547 8366251.800968559, 1958695.361311357 8366244.043930996, 1958667.75407764 8366141.075570921, 1958638.85553783 8366148.832500196, 1958666.462771547 8366251.800968559))",apartments,"[1958666.4627715468, 1958695.3613113568, 1958667.75407764, 1958638.8555378297, 1958666.4627715468]","[8366251.800968559, 8366244.043930996, 8366141.075570921, 8366148.832500196, 8366251.800968559]"
"POLYGON ((1958750.609174637 8366194.110967312, 1958777.78226234 8366186.265339306, 1958807.660413668 8366289.522450372, 1958780.487325966 8366297.368188215, 1958750.609174637 8366194.110967312))",apartments,"[1958750.6091746374, 1958777.7822623397, 1958807.6604136685, 1958780.487325966, 1958750.6091746374]","[8366194.110967312, 8366186.265339306, 8366289.522450372, 8366297.368188215, 8366194.110967312]"
"POLYGON ((1958768.075202743 8366321.969284718, 1958741.737011221 8366328.928528708, 1958771.080828994 8366440.166507801, 1958797.419020516 8366433.207158857, 1958768.075202743 8366321.969284718))",apartments,"[1958768.0752027426, 1958741.7370112208, 1958771.080828994, 1958797.4190205156, 1958768.0752027426]","[8366321.969284718, 8366328.928528708, 8366440.166507801, 8366433.207158857, 8366321.969284718]"
"POLYGON ((1958691.287017993 8366400.072769078, 1958663.145450721 8366407.408865292, 1958691.164566554 8366514.946677977, 1958719.306133826 8366507.610474809, 1958691.287017993 8366400.072769078))",apartments,"[1958691.2870179934, 1958663.1454507213, 1958691.1645665537, 1958719.3061338263, 1958691.2870179934]","[8366400.072769078, 8366407.408865292, 8366514.946677977, 8366507.610474809, 8366400.072769078]"
"POLYGON ((1958579.9675272 8366429.30638016, 1958552.471612975 8366436.31005248, 1958580.346013469 8366545.909525214, 1958607.841927695 8366538.905748822, 1958579.9675272 8366429.30638016))",apartments,"[1958579.9675272, 1958552.4716129745, 1958580.3460134687, 1958607.841927695, 1958579.9675272]","[8366429.30638016, 8366436.31005248, 8366545.909525214, 8366538.905748822, 8366429.30638016]"
"POLYGON ((1962542.818948001 8369341.279744782, 1962519.085632564 8369366.689200491, 1962551.490736334 8369396.954504117, 1962575.224051771 8369371.522771781, 1962542.818948001 8369341.279744782))",apartments,"[1962542.8189480007, 1962519.085632564, 1962551.4907363337, 1962575.224051771, 1962542.8189480007]","[8369341.279744782, 8369366.689200491, 8369396.954504117, 8369371.522771781, 8369341.279744782]"
"POLYGON ((1962579.46532437 8369264.29805385, 1962552.481479802 8369291.303636186, 1962583.294714853 8369322.100763327, 1962610.278559421 8369295.117240342, 1962579.46532437 8369264.29805385))",apartments,"[1962579.4653243704, 1962552.4814798017, 1962583.2947148532, 1962610.2785594214, 1962579.4653243704]","[8369264.29805385, 8369291.303636186, 8369322.100763327, 8369295.117240342, 8369264.29805385]"
"POLYGON ((1962633.121318932 8369197.094936232, 1962608.441787824 8369223.058192817, 1962576.114607697 8369192.327994699, 1962600.783006857 8369166.364846295, 1962633.121318932 8369197.094936232))",apartments,"[1962633.1213189324, 1962608.4417878236, 1962576.1146076974, 1962600.783006857, 1962633.1213189324]","[8369197.094936232, 8369223.058192817, 8369192.327994699, 8369166.364846295, 8369197.094936232]"
"POLYGON ((1962665.537554651 8369114.970941622, 1962643.195732849 8369139.803154551, 1962611.202511195 8369111.024401195, 1962633.544332998 8369086.192285159, 1962665.537554651 8369114.970941622))",apartments,"[1962665.5375546513, 1962643.195732849, 1962611.2025111953, 1962633.5443329976, 1962665.5375546513]","[8369114.970941622, 8369139.803154551, 8369111.024401195, 8369086.192285159, 8369114.970941622]"
"POLYGON ((1963883.172408846 8371729.619026439, 1964026.028711382 8371889.046590243, 1964046.266594808 8371870.903435466, 1964027.787559336 8371850.276186592, 1964025.282870793 8371847.481531509, 1963996.005844715 8371814.677683113, 1963993.946434135 8371812.370994741, 1963990.462134073 8371808.489549577, 1963961.752837398 8371776.284723382, 1963958.21287759 8371772.358938075, 1963956.064411418 8371769.96354467, 1963926.108336445 8371736.494657153, 1963922.679696129 8371732.679790291, 1963920.642549448 8371730.417486457, 1963903.555007611 8371711.365366972, 1963883.172408846 8371729.619026439))",apartments,"[1963883.1724088464, 1964026.0287113818, 1964046.2665948079, 1964027.787559336, 1964025.2828707932, 1963996.0058447146, 1963993.9464341349, 1963990.4621340733, 1963961.7528373976, 1963958.21287759, 1963956.0644114178, 1963926.1083364454, 1963922.679696129, 1963920.6425494477, 1963903.555007611, 1963883.1724088464]","[8371729.619026439, 8371889.046590243, 8371870.903435466, 8371850.276186592, 8371847.481531509, 8371814.677683113, 8371812.370994741, 8371808.489549577, 8371776.2847233815, 8371772.358938075, 8371769.9635446705, 8371736.494657153, 8371732.679790291, 8371730.417486457, 8371711.365366972, 8371729.619026439]"
"POLYGON ((1964060.682468866 8371888.24811305, 1964077.870198244 8371907.699929151, 1964230.544879867 8371772.802529529, 1964213.357150488 8371753.373248773, 1964185.983687702 8371777.548959775, 1964135.912180744 8371821.797370067, 1964085.707090396 8371866.134765277, 1964060.682468866 8371888.24811305))",apartments,"[1964060.6824688655, 1964077.870198244, 1964230.5448798665, 1964213.3571504883, 1964185.9836877023, 1964135.9121807436, 1964085.7070903955, 1964060.6824688655]","[8371888.24811305, 8371907.699929151, 8371772.802529529, 8371753.373248773, 8371777.548959775, 8371821.797370067, 8371866.134765277, 8371888.24811305]"
"POLYGON ((1964234.240686961 8371730.927613732, 1964251.985013794 8371751.066579571, 1964407.464946585 8371613.998493488, 1964389.731751701 8371593.882081014, 1964361.278489854 8371618.966612629, 1964309.013988927 8371665.010590333, 1964258.486072056 8371709.546657324, 1964234.240686961 8371730.927613732))",apartments,"[1964234.2406869612, 1964251.9850137937, 1964407.4649465848, 1964389.7317517013, 1964361.2784898542, 1964309.0139889272, 1964258.486072056, 1964234.2406869612]","[8371730.927613732, 8371751.066579571, 8371613.998493488, 8371593.882081014, 8371618.966612629, 8371665.010590333, 8371709.546657324, 8371730.927613732]"
"POLYGON ((1964372.566286221 8371576.44937985, 1964391.613051096 8371559.438119589, 1964249.647304487 8371400.439072132, 1964230.600539612 8371417.449965612, 1964248.779012459 8371437.809861028, 1964281.317699617 8371474.249334871, 1964317.118047856 8371514.348489229, 1964349.534283576 8371550.655267856, 1964372.566286221 8371576.44937985))",apartments,"[1964372.566286221, 1964391.6130510955, 1964249.647304487, 1964230.6005396121, 1964248.7790124589, 1964281.3176996175, 1964317.1180478565, 1964349.5342835758, 1964372.566286221]","[8371576.44937985, 8371559.438119589, 8371400.439072132, 8371417.449965612, 8371437.809861028, 8371474.249334871, 8371514.348489229, 8371550.655267856, 8371576.44937985]"
"POLYGON ((1964201.468228872 8371387.908256538, 1964221.539133061 8371408.933424731, 1964196.570171277 8371430.890151703, 1964144.583969076 8371476.644632215, 1964094.47906627 8371520.713806466, 1964070.578771597 8371541.739353309, 1964052.422562649 8371521.66749558, 1964201.468228872 8371387.908256538))",apartments,"[1964201.4682288717, 1964221.5391330612, 1964196.5701712766, 1964144.5839690762, 1964094.4790662702, 1964070.5787715968, 1964052.4225626485, 1964201.4682288717]","[8371387.908256538, 8371408.933424731, 8371430.890151703, 8371476.644632215, 8371520.713806466, 8371541.739353309, 8371521.66749558, 8371387.908256538]"
"POLYGON ((1964025.650225113 8371543.846347068, 1964042.49286407 8371562.831496926, 1964015.241852724 8371587.00658327, 1963965.971846099 8371630.699371561, 1963915.7778877 8371675.235231334, 1963887.380285598 8371700.430936465, 1963870.537646641 8371681.445432346, 1964025.650225113 8371543.846347068))",apartments,"[1964025.6502251127, 1964042.4928640695, 1964015.2418527235, 1963965.9718460985, 1963915.7778876997, 1963887.3802855983, 1963870.5376466413, 1964025.6502251127]","[8371543.8463470675, 8371562.831496926, 8371587.00658327, 8371630.699371561, 8371675.235231334, 8371700.430936465, 8371681.445432346, 8371543.8463470675]"
"POLYGON ((1964076.044558595 8371556.155638427, 1964055.973654405 8371574.320197801, 1964072.794029464 8371593.17235191, 1964105.399508317 8371629.701310055, 1964138.138570559 8371666.407883172, 1964172.180070844 8371704.556297792, 1964198.34015118 8371733.877480836, 1964219.357271042 8371714.780993619, 1964076.044558595 8371556.155638427))",apartments,"[1964076.044558595, 1964055.973654405, 1964072.7940294638, 1964105.3995083168, 1964138.1385705594, 1964172.1800708438, 1964198.3401511803, 1964219.3572710422, 1964076.044558595]","[8371556.1556384275, 8371574.320197801, 8371593.17235191, 8371629.701310055, 8371666.407883172, 8371704.556297792, 8371733.877480836, 8371714.780993619, 8371556.1556384275]"
"POLYGON ((1963984.428617672 8371690.25061918, 1963965.482040339 8371707.57269248, 1963987.489903668 8371731.659535533, 1964033.943527177 8371782.517189102, 1964059.001544554 8371809.953408652, 1964077.948121887 8371792.631094857, 1963984.428617672 8371690.25061918))",apartments,"[1963984.428617672, 1963965.482040339, 1963987.4899036684, 1964033.943527177, 1964059.0015445543, 1964077.9481218872, 1963984.428617672]","[8371690.25061918, 8371707.57269248, 8371731.659535533, 8371782.517189102, 8371809.953408652, 8371792.631094857, 8371690.25061918]"
"POLYGON ((1964220.336882561 8371478.485463112, 1964201.022950909 8371495.673966547, 1964292.271537512 8371598.317889409, 1964311.585469164 8371581.129146727, 1964286.315944754 8371552.69572743, 1964242.166634706 8371503.037311888, 1964220.336882561 8371478.485463112))",apartments,"[1964220.336882561, 1964201.0229509086, 1964292.2715375116, 1964311.5854691644, 1964286.315944754, 1964242.1666347056, 1964220.336882561]","[8371478.485463112, 8371495.673966547, 8371598.317889409, 8371581.129146727, 8371552.69572743, 8371503.037311888, 8371478.485463112]"
"POLYGON ((1962265.722471518 8369206.695344117, 1962161.850254659 8369324.029745331, 1962145.76458824 8369339.417275032, 1962124.202002873 8369366.556166461, 1962128.454407421 8369370.303292485, 1962144.239511216 8369384.294057966, 1962146.387977388 8369386.178711443, 1962184.93791705 8369342.632252875, 1962287.897314084 8369226.339635678, 1962265.722471518 8369206.695344117))",apartments,"[1962265.722471518, 1962161.850254659, 1962145.7645882396, 1962124.202002873, 1962128.4544074212, 1962144.2395112156, 1962146.3879773878, 1962184.9379170495, 1962287.8973140845, 1962265.722471518]","[8369206.695344117, 8369324.029745331, 8369339.417275032, 8369366.556166461, 8369370.303292485, 8369384.294057966, 8369386.178711443, 8369342.632252875, 8369226.339635678, 8369206.695344117]"
"POLYGON ((1962108.806517296 8369388.817227124, 1962093.010281553 8369406.643862002, 1962153.211862174 8369459.946644223, 1962188.021466944 8369490.766648323, 1962204.507883531 8369505.356306685, 1962220.304119275 8369487.5072605, 1962128.532331065 8369406.266930224, 1962112.74722727 8369392.298295474, 1962108.806517296 8369388.817227124))",apartments,"[1962108.806517296, 1962093.0102815528, 1962153.2118621736, 1962188.0214669444, 1962204.507883531, 1962220.3041192747, 1962128.5323310648, 1962112.7472272704, 1962108.806517296]","[8369388.817227124, 8369406.643862002, 8369459.946644223, 8369490.766648323, 8369505.356306685, 8369487.5072605, 8369406.266930224, 8369392.298295474, 8369388.817227124]"
"POLYGON ((1962213.513630336 8369366.755717503, 1962190.214460913 8369391.877019596, 1962253.633174818 8369450.7228407, 1962276.932344241 8369425.601338156, 1962213.513630336 8369366.755717503))",apartments,"[1962213.5136303364, 1962190.214460913, 1962253.6331748185, 1962276.932344241, 1962213.5136303364]","[8369366.755717503, 8369391.877019596, 8369450.7228407, 8369425.6013381565, 8369366.755717503]"
"POLYGON ((1962260.891205618 8369309.928233339, 1962238.916738135 8369334.605897019, 1962304.51731406 8369393.029985208, 1962326.491781543 8369368.352126034, 1962260.891205618 8369309.928233339))",apartments,"[1962260.8912056177, 1962238.916738135, 1962304.51731406, 1962326.4917815425, 1962260.8912056177]","[8369309.9282333385, 8369334.605897019, 8369393.029985208, 8369368.352126034, 8369309.9282333385]"
"POLYGON ((1962319.311674386 8369252.436027186, 1962296.502310723 8369279.242017405, 1962359.475746664 8369334.38417461, 1962382.273978379 8369309.551306503, 1962319.311674386 8369252.436027186))",apartments,"[1962319.3116743863, 1962296.5023107226, 1962359.4757466642, 1962382.2739783789, 1962319.3116743863]","[8369252.436027186, 8369279.242017405, 8369334.38417461, 8369309.551306503, 8369252.436027186]"
"POLYGON ((1962403.502605273 8369325.759177906, 1962377.231205446 8369354.58311381, 1962492.246503334 8369460.83354902, 1962517.538291642 8369434.536867214, 1962498.235491938 8369416.111507745, 1962470.427883138 8369389.593261328, 1962446.360609228 8369366.622683471, 1962422.88332862 8369344.228656185, 1962403.502605273 8369325.759177906))",apartments,"[1962403.5026052732, 1962377.231205446, 1962492.2465033336, 1962517.5382916417, 1962498.2354919384, 1962470.4278831382, 1962446.3606092285, 1962422.8833286203, 1962403.5026052732]","[8369325.7591779055, 8369354.58311381, 8369460.83354902, 8369434.536867214, 8369416.1115077445, 8369389.593261328, 8369366.622683471, 8369344.228656185, 8369325.7591779055]"
"POLYGON ((1962350.247360878 8369390.524502482, 1962327.449129163 8369414.84767611, 1962440.972745874 8369517.662195984, 1962465.262658765 8369492.340910982, 1962350.247360878 8369390.524502482))",apartments,"[1962350.247360878, 1962327.449129163, 1962440.9727458742, 1962465.262658765, 1962350.247360878]","[8369390.524502482, 8369414.8476761095, 8369517.662195984, 8369492.340910982, 8369390.524502482]"
"POLYGON ((1962358.540662942 8369609.635510732, 1962340.195210859 8369630.012588864, 1962220.226195631 8369529.192056842, 1962240.55313465 8369506.841881423, 1962358.540662942 8369609.635510732))",apartments,"[1962358.540662942, 1962340.195210859, 1962220.2261956313, 1962240.55313465, 1962358.540662942]","[8369609.635510732, 8369630.012588864, 8369529.192056842, 8369506.841881423, 8369609.635510732]"
"POLYGON ((1962404.159390269 8369056.327342065, 1962396.923623367 8369064.264709353, 1962294.364976499 8369177.140317794, 1962315.99435356 8369196.651499684, 1962331.612478119 8369179.800930469, 1962357.549919474 8369151.798030213, 1962388.507869863 8369118.385365942, 1962414.311727829 8369090.515727923, 1962427.414031896 8369076.370319484, 1962404.159390269 8369056.327342065))",apartments,"[1962404.159390269, 1962396.9236233672, 1962294.3649764992, 1962315.9943535605, 1962331.6124781189, 1962357.549919474, 1962388.5078698632, 1962414.3117278293, 1962427.4140318958, 1962404.159390269]","[8369056.327342065, 8369064.264709353, 8369177.140317794, 8369196.651499684, 8369179.800930469, 8369151.798030213, 8369118.3853659425, 8369090.515727923, 8369076.370319484, 8369056.327342065]"
"POLYGON ((1962350.70377079 8369217.071780543, 1962373.969544366 8369192.150620188, 1962436.163743872 8369249.043712783, 1962414.000033255 8369273.432935988, 1962395.832692357 8369257.247351587, 1962370.941654216 8369235.075375827, 1962350.70377079 8369217.071780543))",apartments,"[1962350.70377079, 1962373.9695443658, 1962436.1637438717, 1962414.000033255, 1962395.8326923575, 1962370.941654216, 1962350.70377079]","[8369217.071780543, 8369192.150620188, 8369249.043712783, 8369273.432935988, 8369257.247351587, 8369235.075375827, 8369217.071780543]"
"POLYGON ((1962446.727963548 8369109.782793406, 1962424.007655477 8369134.149384437, 1962485.678653377 8369193.214867306, 1962507.842363994 8369169.380202994, 1962494.283650015 8369156.165854846, 1962463.659658098 8369126.300628399, 1962446.727963548 8369109.782793406))",apartments,"[1962446.7279635484, 1962424.0076554772, 1962485.6786533769, 1962507.8423639936, 1962494.283650015, 1962463.6596580981, 1962446.7279635484]","[8369109.782793406, 8369134.149384437, 8369193.214867306, 8369169.380202994, 8369156.165854846, 8369126.3006283995, 8369109.782793406]"
